uid,id,screen_name,description,followers_count,friends_count,statuses_count,gender,province,city,location,description,star,svip,vvip,is_teenager,created_at
1968758563,1699961972,美少女小壮士呀-,如果有来生，要做一棵树，站成永恒，没有悲伤的姿势：一半在尘土里安详，一半在空中飞扬。非常沉默非常骄傲，从不依靠从不寻找,118,344,528,f,41,15,河南 信阳,如果有来生，要做一棵树，站成永恒，没有悲伤的姿势：一半在尘土里安详，一半在空中飞扬。非常沉默非常骄傲，从不依靠从不寻找,0,0,0,0,Thu Feb 25 11:34:30 +0800 2010
1968758563,6506092464,用户6506092464,,0,97,0,f,100,1000,其他,,0,0,0,0,Tue Mar 13 11:22:43 +0800 2018
1968758563,7868871983,神识小狐狸丨邓为D,皎皎明月 暗夜不染 清辉常在,6,70,13,f,100,1000,其他,皎皎明月 暗夜不染 清辉常在,0,0,0,0,Tue Sep 05 16:52:35 +0800 2023
1968758563,6506092464,用户6506092464,,0,97,0,f,100,1000,其他,,0,0,0,0,Tue Mar 13 11:22:43 +0800 2018
1968758563,7868871983,神识小狐狸丨邓为D,皎皎明月 暗夜不染 清辉常在,6,70,13,f,100,1000,其他,皎皎明月 暗夜不染 清辉常在,0,0,0,0,Tue Sep 05 16:52:35 +0800 2023
1968758563,7672465906,凌734,,0,23,0,f,52,1000,贵州,,0,0,0,0,Sun Aug 15 09:50:09 +0800 2021
1968758563,7712102507,陆沉爱吃小樱桃,,7,125,40,f,11,1000,北京,,0,0,0,0,Thu Oct 07 19:43:17 +0800 2021
1968758563,5505655643,小小小小小小奶盖,,114,100,348,f,31,15,上海 浦东新区,,0,0,0,0,Sun Mar 08 10:40:17 +0800 2015
1968758563,3023135687,嘉纯cc,,259,78,36,f,44,1000,广东,,0,0,0,0,Mon Oct 22 09:03:15 +0800 2012
1968758563,7876901887,用户7876901887,,0,5,0,m,100,1000,其他,,0,0,0,0,Tue Oct 10 22:23:32 +0800 2023
